product_weight_g,product_length_cm,product_height_cm,product_width_cm,price,freight_value,payment_sequential,payment_installments,payment_value,review_score
225.0,16.0,10.0,14.0,58.9,13.29,1.0,8.0,99.33,4.0
1000.0,30.0,18.0,20.0,239.9,19.93,1.0,1.0,24.39,5.0
154.0,18.0,9.0,15.0,199.0,17.87,1.0,1.0,65.71,5.0
371.0,26.0,4.0,26.0,12.99,12.79,1.0,8.0,107.78,5.0
625.0,20.0,17.0,13.0,199.9,18.14,1.0,2.0,128.45,5.0
200.0,38.0,5.0,11.0,21.9,12.69,1.0,2.0,96.12,1.0
18350.0,70.0,24.0,44.0,19.9,11.85,1.0,1.0,81.16,5.0
900.0,40.0,8.0,40.0,810.0,70.75,1.0,3.0,51.84,5.0
400.0,27.0,13.0,17.0,145.95,11.65,1.0,6.0,341.09,5.0
600.0,17.0,10.0,12.0,53.99,11.4,1.0,1.0,51.95,4.0
1100.0,16.0,10.0,16.0,59.99,8.88,1.0,8.0,188.73,5.0
7150.0,50.0,19.0,45.0,45.0,12.98,1.0,1.0,141.9,5.0
250.0,17.0,7.0,17.0,74.0,23.32,1.0,1.0,75.78,4.0
600.0,68.0,11.0,13.0,49.9,13.37,1.0,5.0,102.66,4.0
200.0,17.0,7.0,17.0,49.9,13.37,1.0,4.0,105.28,3.0
800.0,16.0,2.0,11.0,99.9,27.65,1.0,10.0,157.45,5.0
400.0,27.0,5.0,20.0,639.0,11.34,1.0,1.0,132.04,2.0
900.0,40.0,15.0,20.0,144.0,8.77,1.0,1.0,98.94,5.0
1700.0,100.0,7.0,15.0,99.0,13.71,1.0,4.0,244.15,3.0
500.0,16.0,10.0,16.0,25.0,16.11,1.0,3.0,136.71,1.0
2550.0,29.0,24.0,45.0,47.9,8.88,1.0,4.0,47.69,4.0
800.0,36.0,8.0,16.0,21.99,11.85,1.0,2.0,170.57,5.0
75.0,21.0,7.0,13.0,119.99,44.4,1.0,4.0,67.5,5.0
500.0,20.0,13.0,13.0,49.0,15.1,1.0,10.0,353.09,5.0
1800.0,40.0,10.0,30.0,48.9,16.6,1.0,1.0,330.66,5.0
900.0,50.0,5.0,50.0,219.9,16.98,2.0,1.0,45.17,5.0
3600.0,35.0,25.0,50.0,289.0,26.33,1.0,2.0,541.0,4.0
300.0,42.0,2.0,30.0,109.9,25.51,1.0,2.0,139.22,5.0
740.0,23.0,13.0,13.0,27.9,7.94,1.0,2.0,290.16,5.0
3600.0,62.0,23.0,23.0,119.9,17.32,1.0,1.0,283.34,1.0
650.0,16.0,10.0,16.0,397.0,24.65,1.0,1.0,13.78,5.0
2150.0,70.0,8.0,34.0,59.9,23.35,1.0,1.0,30.28,5.0
800.0,40.0,10.0,34.0,21.33,15.1,1.0,1.0,26.58,1.0
8950.0,52.0,51.0,17.0,21.33,15.1,1.0,1.0,89.68,5.0
1388.0,34.0,9.0,31.0,21.33,15.1,1.0,1.0,65.09,4.0
7950.0,33.0,30.0,44.0,16.5,14.1,1.0,1.0,173.84,5.0
6000.0,87.0,3.0,42.0,21.9,15.1,1.0,1.0,103.49,5.0
263.0,18.0,12.0,16.0,39.0,16.11,1.0,1.0,64.03,5.0
3900.0,19.0,20.0,15.0,49.75,20.8,1.0,3.0,157.15,5.0
600.0,25.0,25.0,25.0,809.1,44.29,1.0,1.0,130.88,1.0
2050.0,49.0,13.0,41.0,99.99,13.72,1.0,2.0,47.72,2.0
725.0,22.0,17.0,15.0,59.9,19.95,1.0,8.0,117.74,1.0
6350.0,45.0,15.0,35.0,24.89,17.63,1.0,1.0,56.6,5.0
600.0,70.0,11.0,11.0,24.89,17.63,1.0,1.0,266.16,5.0
11750.0,18.0,40.0,79.0,24.89,17.63,1.0,1.0,31.38,5.0
2550.0,22.0,32.0,38.0,54.0,8.54,1.0,1.0,121.49,4.0
15350.0,47.0,40.0,47.0,81.99,13.01,1.0,1.0,32.0,5.0
1300.0,25.0,16.0,25.0,99.0,13.71,1.0,5.0,153.41,5.0
850.0,69.0,11.0,11.0,18.99,7.78,1.0,5.0,65.71,5.0
1300.0,19.0,28.0,17.0,18.99,7.78,1.0,4.0,278.22,5.0
4800.0,60.0,30.0,15.0,38.33,16.79,1.0,4.0,91.66,5.0
1300.0,36.0,16.0,24.0,69.9,18.0,1.0,1.0,132.51,1.0
220.0,18.0,14.0,17.0,195.0,18.21,1.0,4.0,542.66,5.0
5700.0,41.0,17.0,49.0,35.9,15.2,1.0,1.0,166.04,5.0
450.0,20.0,40.0,30.0,79.5,21.05,1.0,1.0,368.98,5.0
2000.0,32.0,12.0,37.0,29.99,15.1,1.0,2.0,113.2,5.0
100.0,19.0,3.0,11.0,109.9,13.21,1.0,3.0,99.43,3.0
